"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Ebf3",2.23228078755828e-07,0.331295797282182,0.859,0.749,0.00515255051384203,"Ebf3"
"Herc3",2.32701980678733e-07,0.461210742399813,0.594,0.441,0.00537122711802651,"Herc3"
"Rhoq",2.51572286497904e-07,-0.533777067855067,0.651,0.694,0.00580679151694461,"Rhoq"
"Fabp3",2.60737006395586e-07,-0.676684537172579,0.341,0.468,0.00601833158162293,"Fabp3"
"Txnip",2.64241655959037e-07,0.257688948085158,0.951,0.912,0.0060992259028465,"Txnip"
"Ctnnd1",2.78763015308735e-07,-0.591087986453698,0.482,0.566,0.00643440791935623,"Ctnnd1"
"Parm1",3.18152857191825e-07,0.499687296952399,0.654,0.51,0.0073436042497017,"Parm1"
"Idh3a",3.26058636813203e-07,-0.401911440791658,0.734,0.797,0.00752608545492236,"Idh3a"
"Idh1",3.29281594815656e-07,0.571035646400986,0.469,0.328,0.00760047777153496,"Idh1"
"Irak2",3.3062356162359e-07,-0.7831300341261,0.37,0.486,0.00763145304939571,"Irak2"
"Gm16599",3.45845029098228e-07,0.423582515915854,0.641,0.487,0.00798279496164529,"Gm16599"
"Smc6",3.56092301929627e-07,0.495973426909593,0.49,0.342,0.00821932251313966,"Smc6"
"Macf1",4.07343800343715e-07,-0.279745438763762,0.966,0.973,0.00940230959953362,"Macf1"
"Tgoln1",4.1660413270904e-07,-0.886842151005255,0.229,0.344,0.00961605659119007,"Tgoln1"
"Fam117a",4.46210817421167e-07,-0.851824589989222,0.299,0.418,0.0102994380877154,"Fam117a"
"Fbxo21",4.56266022232521e-07,-0.901294023522685,0.323,0.425,0.0105315323251711,"Fbxo21"
"Thap2",4.74179741234014e-07,0.79622460229514,0.281,0.169,0.0109450167871635,"Thap2"
"Gm44079",4.93021958045552e-07,0.454146198328262,0.737,0.608,0.0113799328356074,"Gm44079"
"Dag1",5.74781502672915e-07,0.368725001358122,0.888,0.779,0.0132671066446962,"Dag1"
"Ndel1",5.94705195713087e-07,-0.495577579607716,0.594,0.673,0.0137269853274495,"Ndel1"
"Miga2",6.44303869571143e-07,0.351004696327514,0.781,0.653,0.0148718219174411,"Miga2"
"Elmod2",6.52734782241341e-07,-0.939088293990173,0.242,0.356,0.0150664242436946,"Elmod2"
"Cib2",6.60100222176321e-07,-1.02607588915824,0.242,0.344,0.0152364333282738,"Cib2"
"Lamc1",7.84669176717207e-07,0.400264030482304,0.646,0.492,0.0181117339369866,"Lamc1"
"Meis1",8.06982241648216e-07,0.450204413918932,0.56,0.423,0.0186267641017241,"Meis1"
"Stk38l",9.59319435239302e-07,0.469103491045703,0.362,0.233,0.0221430112041936,"Stk38l"
"Ccnl1",9.90636735715542e-07,-0.311912054487403,0.875,0.877,0.0228658771337861,"Ccnl1"
"Clic5",1.0645470557093e-06,0.63637247815492,0.383,0.257,0.0245718751398822,"Clic5"
"Tmem132b",1.14647573761285e-06,-0.980535678939892,0.203,0.319,0.0264629529755799,"Tmem132b"
"Plaat3",1.2276643115031e-06,0.404258942115411,0.469,0.321,0.0283369476381145,"Plaat3"
"Hsdl2",1.41014691241618e-06,-0.546338523737486,0.401,0.515,0.0325490110323902,"Hsdl2"
"Cmya5",1.4799042432124e-06,0.844263120999641,0.268,0.166,0.0341591497418287,"Cmya5"
"Pcx",1.48988369484451e-06,0.269502202957561,0.891,0.805,0.034389495444401,"Pcx"
"Nsd1",1.67966734849281e-06,0.265348442193703,0.93,0.855,0.0387700817379109,"Nsd1"
"Snx10",1.71601071907891e-06,0.278113687972747,0.865,0.771,0.0396089594177795,"Snx10"
"Gm15581",1.95182976272253e-06,-0.600260487454786,0.495,0.575,0.0450521345831615,"Gm15581"
"Fam162a",2.06372290862167e-06,-0.749417926166227,0.276,0.39,0.0476348521768054,"Fam162a"
"Mettl7a1",2.17793336585928e-06,0.418396222677219,0.469,0.322,0.0502710579507639,"Mettl7a1"
"Pde3b",2.40922201482468e-06,-0.253816843334506,0.99,0.987,0.0556096625461833,"Pde3b"
"Mapkapk3",2.56851688345506e-06,0.642080046491489,0.414,0.29,0.0592865067039097,"Mapkapk3"
"Myl1",2.61122261757303e-06,-0.350197310033524,0.758,0.802,0.0602722404588207,"Myl1"
"Car3",2.88730090962308e-06,0.389347288571077,0.938,0.885,0.06664467959592,"Car3"
"Slc2a4",3.13361132240251e-06,0.386512201936418,0.555,0.397,0.0723300165436948,"Slc2a4"
"Tecr",3.23781781051454e-06,0.42863813249166,0.419,0.283,0.0747353107022967,"Tecr"
"Calm2",3.39319954071549e-06,0.570727285926911,0.294,0.183,0.078321831798795,"Calm2"
"Skil",3.50139931505491e-06,-0.8572705840236,0.276,0.373,0.0808192989900974,"Skil"
"Bnip3",3.64913410429387e-06,0.27704867187325,0.682,0.531,0.0842293133953112,"Bnip3"
"Ftx",3.65126677416385e-06,0.622955064401965,0.26,0.158,0.08427853968125,"Ftx"
"Tbc1d20",4.02105474991553e-06,-0.536800371611215,0.482,0.57,0.0928139857375503,"Tbc1d20"
"Rbpms",4.0436433373868e-06,-0.371707742435292,0.815,0.835,0.093335375513562,"Rbpms"
"Nptn",4.27757690760497e-06,-0.530566266700886,0.648,0.691,0.098735030181338,"Nptn"
"Ak3",4.66717414187424e-06,0.544163143391836,0.362,0.243,0.107727713542741,"Ak3"
"Hlf",4.68494788391814e-06,0.474971960021275,0.445,0.316,0.108137967056599,"Hlf"
"Lrp6",4.87986787515833e-06,-0.41959514507595,0.688,0.715,0.112637110294405,"Lrp6"
"Nhlrc2",4.98366343790324e-06,-0.619640632956566,0.432,0.526,0.115032919473683,"Nhlrc2"
"Mid1",5.1376505951241e-06,0.405638865163117,0.721,0.634,0.118587251036655,"Mid1"
"Clec2d",5.21637596022546e-06,0.38538250346046,0.682,0.573,0.120404389913924,"Clec2d"
"Ckap5",5.32436402784867e-06,0.47532155592362,0.469,0.343,0.122896970490803,"Ckap5"
"Tspan15",5.37958888703205e-06,0.767424207277805,0.255,0.157,0.124171670690474,"Tspan15"
"Gsk3b",6.29729711724823e-06,0.322968600439357,0.836,0.741,0.145354212060324,"Gsk3b"
"Slc22a3",6.34264890293533e-06,-0.550233820801297,0.544,0.617,0.146401021977553,"Slc22a3"
"Tnrc18",6.40723022978454e-06,0.53175889411569,0.302,0.19,0.147891688163887,"Tnrc18"
"Tfrc",6.53717587515619e-06,-0.521184288798828,0.667,0.69,0.150891093550355,"Tfrc"
"Irf2",6.80315624054215e-06,0.380951572031103,0.516,0.37,0.157030452344194,"Irf2"
"Mob1b",7.33768321324377e-06,-0.635172505474424,0.435,0.508,0.169368403928093,"Mob1b"
"Ell2",7.42263817270699e-06,-0.599696081420838,0.497,0.558,0.171329334302423,"Ell2"
"Meis2",7.83623556981852e-06,0.330480647415898,0.695,0.568,0.180875989422551,"Meis2"
"Tmem164",7.99816732045196e-06,-0.451578401382082,0.565,0.638,0.184613698090672,"Tmem164"
"Zfp395",8.07732068952523e-06,-0.514494002671611,0.38,0.482,0.186440716155621,"Zfp395"
"Ndufs1",8.1022628242591e-06,0.280308492925094,0.794,0.658,0.187016430509549,"Ndufs1"
"Prkar2a",9.35698408502082e-06,-0.920512048229265,0.224,0.324,0.215977906650451,"Prkar2a"
"Tmem192",9.77465858573858e-06,0.618107629085937,0.258,0.16,0.225618669476018,"Tmem192"
"Adrb3",1.00317812058098e-05,0.485005377690006,0.667,0.563,0.231553573792501,"Adrb3"
"Klf13",1.00593936891603e-05,0.485426573160526,0.367,0.248,0.232190925133198,"Klf13"
"Ces1d",1.14636329476709e-05,-0.280806380230571,0.888,0.899,0.264603575698139,"Ces1d"
"Elmsan1",1.17355221321734e-05,0.435737725577159,0.299,0.189,0.270879321854826,"Elmsan1"
"Cabcoco1",1.21900460305781e-05,0.571201535613448,0.305,0.2,0.281370642477804,"Cabcoco1"
"Ppp2r2a",1.23302126189315e-05,-0.469229757605611,0.622,0.662,0.284605967670176,"Ppp2r2a"
"Lin52",1.29348623344115e-05,0.3247286425305,0.719,0.612,0.298562492402886,"Lin52"
"Rnf144a",1.39461856721668e-05,-0.706072067873797,0.367,0.454,0.321905857684955,"Rnf144a"
"Erlec1",1.4144496939538e-05,0.411364510780183,0.352,0.238,0.326483278358416,"Erlec1"
"Cdv3",1.43212791610337e-05,-0.808306354807075,0.247,0.342,0.330563765594979,"Cdv3"
"Aspg",1.48381370130169e-05,0.259291859828582,0.87,0.781,0.342493878534456,"Aspg"
"Piezo1",1.53603307243915e-05,-0.479232584250424,0.453,0.551,0.354547153780405,"Piezo1"
"Wdr73",1.57976077309293e-05,-0.764022705029792,0.32,0.403,0.36464038164531,"Wdr73"
"Decr1",1.60015657299848e-05,-0.407556320579289,0.56,0.629,0.369348140179509,"Decr1"
"Sdc4",1.76456017750029e-05,-1.03279626459557,0.195,0.285,0.407295780170618,"Sdc4"
"G0s2",1.88359488243325e-05,0.402295817161738,0.628,0.498,0.434771370763243,"G0s2"
"Slc25a32",1.89789040688896e-05,0.535932650442758,0.349,0.244,0.438071063718111,"Slc25a32"
"Insig1",1.90340585887983e-05,0.570875704004286,0.26,0.165,0.439344140346642,"Insig1"
"Anks1",1.91502192139028e-05,0.427050655136657,0.505,0.385,0.442025359895304,"Anks1"
"Cbfa2t2",1.95716136809377e-05,0.348868155266274,0.615,0.485,0.451751986983403,"Cbfa2t2"
"Dpf3",1.99348769093298e-05,0.32320459455725,0.766,0.657,0.46013682882115,"Dpf3"
"Fbxl20",2.0067057379821e-05,0.363930118756559,0.57,0.445,0.463187818441029,"Fbxl20"
"Cnst",2.09149463884239e-05,0.268901538298257,0.885,0.805,0.482758792537601,"Cnst"
"Aspa",2.09705946373371e-05,0.318671372939725,0.784,0.678,0.484043265419015,"Aspa"
"Dusp16",2.10294941940768e-05,-0.609622123357032,0.273,0.377,0.485402784987681,"Dusp16"
"Arhgap23",2.2444286836126e-05,0.671894934301607,0.339,0.234,0.51805902875146,"Arhgap23"
"Slc35e2",2.28364348947054e-05,0.541461983266619,0.279,0.181,0.527110590239589,"Slc35e2"
"Pigk",2.38338410352691e-05,0.489104268123193,0.294,0.191,0.55013271877608,"Pigk"
"Acaa2",2.44130029092304e-05,0.290069286747573,0.758,0.637,0.563500933150856,"Acaa2"
"Actr1a",2.47569661374421e-05,0.510531603577888,0.354,0.241,0.57144029238444,"Actr1a"
"Pan3",2.65788645998867e-05,0.264402478654166,0.857,0.77,0.613493352694584,"Pan3"
"Nav2",2.6830289419878e-05,0.299417681900112,0.833,0.746,0.619296740389624,"Nav2"
"Comt",2.78507174264627e-05,0.383494179848174,0.677,0.568,0.642850259637612,"Comt"
"Mtx2",2.89790055725747e-05,0.306046869225136,0.742,0.649,0.66889340662617,"Mtx2"
"Rif1",3.66134730359652e-05,0.452694441041652,0.391,0.277,0.845112184616148,"Rif1"
"4930556N13Rik",3.73038146187414e-05,-0.318407304393632,0.792,0.831,0.86104664902979,"4930556N13Rik"
"Lpcat3",3.80107161261285e-05,-0.516570674621735,0.388,0.479,0.877363349623298,"Lpcat3"
"Gpat3",3.84322959949913e-05,-0.977388423812649,0.18,0.268,0.887094256156389,"Gpat3"
"Abl1",3.88450770360138e-05,0.337179606304432,0.57,0.444,0.896622068145272,"Abl1"
"Kank2",3.9383807150744e-05,0.739722875992378,0.258,0.169,0.909057036653472,"Kank2"
"Etfdh",3.97141257133863e-05,-0.345416044380305,0.701,0.761,0.916681449716382,"Etfdh"
"Ctcflos",4.14628526275893e-05,-0.316977581886329,0.911,0.912,0.957045564350016,"Ctcflos"
"Pdzd2",4.34954254995364e-05,0.496821080000969,0.531,0.418,1,"Pdzd2"
"Ulk2",4.59846745269511e-05,0.348918229887864,0.615,0.496,1,"Ulk2"
"1600010M07Rik",4.79120187479025e-05,0.361205726453608,0.388,0.269,1,"1600010M07Rik"
"Mgll",4.79395552119232e-05,-0.287867942635792,0.87,0.876,1,"Mgll"
"Dennd4a",4.95736690972463e-05,0.378666188829277,0.555,0.441,1,"Dennd4a"
"Etv6",5.09061020618525e-05,0.294953314122951,0.833,0.767,1,"Etv6"
"Ahdc1",5.263725285188e-05,0.466221628228829,0.424,0.316,1,"Ahdc1"
"Clcn5",5.32503656067707e-05,0.669342910888243,0.266,0.174,1,"Clcn5"
"Tbc1d13",5.40663013968274e-05,0.499376623800344,0.307,0.207,1,"Tbc1d13"
"Cyb5b",5.63768583500997e-05,0.325655431033515,0.651,0.531,1,"Cyb5b"
"Ctdspl2",5.64426739381348e-05,0.464356501623099,0.451,0.333,1,"Ctdspl2"
"Maob",5.90353252782445e-05,0.47844258858651,0.406,0.295,1,"Maob"
"2210408F21Rik",5.9777968916092e-05,0.269934563339265,0.867,0.76,1,"2210408F21Rik"
"Rbfox1",6.06801594880528e-05,-0.58699210958425,0.536,0.604,1,"Rbfox1"
"Dusp11",6.12639247092727e-05,0.436346610258714,0.375,0.26,1,"Dusp11"
"Iqsec2",6.67969372245109e-05,0.495329888281246,0.38,0.275,1,"Iqsec2"
"Ssh2",7.25429325469977e-05,0.299285333315807,0.768,0.672,1,"Ssh2"
"Abtb2",7.63035452837769e-05,0.495083950501684,0.367,0.266,1,"Abtb2"
"Galm",7.86877409109668e-05,0.319273047922839,0.648,0.538,1,"Galm"
"Rorc",7.89013714900614e-05,0.460599427499368,0.268,0.176,1,"Rorc"
"Dnajb14",8.01351390552662e-05,0.421565940504101,0.305,0.204,1,"Dnajb14"
"Nt5m",8.23148005228662e-05,0.4897928003014,0.305,0.208,1,"Nt5m"
"Hnrnpr",8.25934654367891e-05,0.279714178990908,0.573,0.446,1,"Hnrnpr"
"Akap1",8.55159582235089e-05,-0.260765734053515,0.888,0.901,1,"Akap1"
"Raf1",8.94139166459647e-05,0.338874262532364,0.646,0.529,1,"Raf1"
"Plin2",8.97392157633324e-05,-0.29726531580536,0.823,0.86,1,"Plin2"
"Pacsin2",9.04371316178935e-05,0.516432959016563,0.302,0.206,1,"Pacsin2"
"Dhdh",9.53385080035365e-05,0.421747750392688,0.474,0.357,1,"Dhdh"
"Col4a1",9.68629680287448e-05,-0.961978598794953,0.331,0.393,1,"Col4a1"
"Tulp2",0.000100084928177719,0.456065139443775,0.292,0.194,1,"Tulp2"
"Ankrd28",0.000101048744835198,0.279961771490034,0.745,0.654,1,"Ankrd28"
"Gfm1",0.000115415304223336,0.537846707487526,0.25,0.163,1,"Gfm1"
"Dipk1a",0.000123922902399871,0.474767872229217,0.417,0.314,1,"Dipk1a"
"Chd2",0.000124175086834472,0.308613933093886,0.729,0.646,1,"Chd2"
"Lims2",0.000124547915565201,-0.697651365322129,0.198,0.287,1,"Lims2"
"Dnajc7",0.000127801954355577,0.279156836080288,0.701,0.578,1,"Dnajc7"
"Slc43a2",0.000128819151321944,0.268577563146083,0.529,0.411,1,"Slc43a2"
"Tlcd1",0.000129346195143603,0.488718719605681,0.312,0.218,1,"Tlcd1"
"Pi4ka",0.00013025523442458,0.327788823886553,0.615,0.495,1,"Pi4ka"
"Pdss1",0.000132295966305303,0.499932311570176,0.388,0.288,1,"Pdss1"
"Adtrp",0.000144678710264939,-0.301261159264542,0.768,0.814,1,"Adtrp"
"Wasf2",0.000148723174473339,0.350731534585549,0.471,0.362,1,"Wasf2"
"Ldlrad4",0.000155074501991614,0.281483367193582,0.815,0.747,1,"Ldlrad4"
"Cnnm2",0.000164475907244597,-0.267743179703458,0.786,0.827,1,"Cnnm2"
"Ppp1r15b",0.000164627356988911,-0.719328431484836,0.271,0.348,1,"Ppp1r15b"
"Stt3b",0.000167120956781912,-0.650964058390323,0.339,0.414,1,"Stt3b"
"Arf4",0.000167414432439606,-0.543277566712429,0.318,0.411,1,"Arf4"
"Plekhm1",0.00016853512756821,0.541374161356609,0.268,0.181,1,"Plekhm1"
"Gm11266",0.00017034101758903,0.403337552660455,0.448,0.342,1,"Gm11266"
"Slc6a6",0.000170767240031313,0.27021013577083,0.695,0.565,1,"Slc6a6"
"Derl1",0.000175925140001744,0.368856442182501,0.409,0.298,1,"Derl1"
"Pum2",0.000176673983521523,0.269102813846197,0.719,0.595,1,"Pum2"
"Ackr3",0.000180321016941543,-0.48384921979869,0.513,0.579,1,"Ackr3"
"Aopep",0.0001839790607176,0.271480476086911,0.648,0.529,1,"Aopep"
"Shld2",0.000184715095185713,0.29361188980023,0.477,0.355,1,"Shld2"
"Ubac1",0.000189377133316183,0.341608299499898,0.518,0.393,1,"Ubac1"
"Nudt13",0.000190034049746485,0.352902832711252,0.56,0.439,1,"Nudt13"
"Slc3a2",0.000193033222420974,-0.684487990477417,0.188,0.271,1,"Slc3a2"
"Phip",0.000193701520719987,0.32992520020266,0.477,0.372,1,"Phip"
"Zmym6",0.000204706852347985,0.364339496023567,0.346,0.245,1,"Zmym6"
"Klb",0.00020858859854289,-0.632873392406393,0.255,0.341,1,"Klb"
"Dpy19l1",0.000229997876794434,0.434284445180241,0.331,0.236,1,"Dpy19l1"
"Pex3",0.000234559099946122,-0.557812695989124,0.367,0.442,1,"Pex3"
"Flot2",0.000236737606355243,0.301436123542736,0.406,0.292,1,"Flot2"
"Wtap",0.000237499974169976,0.337007812098687,0.411,0.298,1,"Wtap"
"Ube2q2",0.000241036107007918,-0.297659086834039,0.677,0.726,1,"Ube2q2"
"Srpk2",0.000241052131260514,0.303802080605905,0.703,0.612,1,"Srpk2"
"Pptc7",0.000251421134516737,0.314414342277532,0.552,0.438,1,"Pptc7"
"Braf",0.000263328337156049,-0.347854466887112,0.607,0.661,1,"Braf"
"Pten",0.000268182777830634,0.255107224477562,0.846,0.8,1,"Pten"
"Cab39",0.000271602186382405,-0.393542323450703,0.544,0.595,1,"Cab39"
"Ghr",0.00028595706785975,-0.289595528154991,0.987,0.977,1,"Ghr"
"Rnmt",0.000297996906775095,-0.679770080270212,0.294,0.376,1,"Rnmt"
"Rnf14",0.00029868951420695,0.32253017545461,0.388,0.278,1,"Rnf14"
"Rps6ka3",0.000301465194884848,0.277315167624629,0.654,0.535,1,"Rps6ka3"
"Dagla",0.000304499590237765,-0.614874810971306,0.365,0.428,1,"Dagla"
"Zmym2",0.000309214437477629,0.279016246931455,0.661,0.553,1,"Zmym2"
"Spop",0.000313695591091573,-0.354033908864012,0.698,0.721,1,"Spop"
"Limd1",0.000316763175521081,0.48521413482861,0.318,0.223,1,"Limd1"
"Ppp2r1b",0.000318335295799905,-0.551587779227415,0.344,0.409,1,"Ppp2r1b"
"Secisbp2l",0.00034125224806099,0.286031602794274,0.43,0.32,1,"Secisbp2l"
"Map2k2",0.000345199720046929,0.374813662440942,0.271,0.183,1,"Map2k2"
"Pfkfb2",0.000345665566391188,0.510456526950704,0.263,0.181,1,"Pfkfb2"
"Ndufs3",0.000352401437744746,0.264720650325015,0.596,0.47,1,"Ndufs3"
"Rnf152",0.000363688286234445,-0.252946614780049,0.883,0.899,1,"Rnf152"
"Crebrf",0.000371739866709681,0.269287703207528,0.688,0.602,1,"Crebrf"
"Mpc1",0.000382572783530095,0.261417733933799,0.943,0.896,1,"Mpc1"
"Etf1",0.000383130491692887,-0.547056466103005,0.383,0.447,1,"Etf1"
"Dcakd",0.000399589508517906,0.369302657778586,0.354,0.256,1,"Dcakd"
"Asph",0.000404796102432634,0.485369297946022,0.375,0.287,1,"Asph"
"Notch2",0.000421605914078859,0.478574567825936,0.305,0.222,1,"Notch2"
"Ric8b",0.00042350694289141,0.256565316815995,0.698,0.63,1,"Ric8b"
"Ggact",0.000436181169888584,0.328461846874204,0.479,0.379,1,"Ggact"
"Ccm2",0.000436184564791325,-0.746652668726451,0.219,0.294,1,"Ccm2"
"Tfeb",0.000452263093871706,0.387994117761823,0.346,0.252,1,"Tfeb"
"Pdzrn3",0.000470343509195053,-0.555388389601712,0.341,0.42,1,"Pdzrn3"
"Atp6v0d1",0.000475553465357072,-0.615048396511058,0.307,0.376,1,"Atp6v0d1"
"Raph1",0.000489866102570011,-0.336361953303498,0.633,0.667,1,"Raph1"
"Myo18a",0.000498928694450842,0.360780562875548,0.362,0.264,1,"Myo18a"
"4930481A15Rik",0.000499675427586579,0.458269777539056,0.32,0.23,1,"4930481A15Rik"
"Abcb7",0.000502016844048133,0.284403056482451,0.586,0.485,1,"Abcb7"
"Trp53inp2",0.000518282612820168,-0.513020640631994,0.32,0.4,1,"Trp53inp2"
"Tet3",0.000518583978012643,0.378036624273075,0.536,0.424,1,"Tet3"
"Hip1r",0.000535402231416878,-0.698342105135545,0.273,0.341,1,"Hip1r"
"Ephx2",0.00055313184606905,-0.348969639415892,0.664,0.69,1,"Ephx2"
"Shtn1",0.000560913240083027,-0.513535281571225,0.469,0.515,1,"Shtn1"
"Sh3bgrl",0.000565616586420364,-0.470055180497224,0.562,0.598,1,"Sh3bgrl"
"Gja1",0.000572673142880695,-0.519476843656304,0.466,0.526,1,"Gja1"
"Odr4",0.000582516115782763,0.407362937034261,0.315,0.225,1,"Odr4"
"Ghitm",0.000607343506655975,-0.550061065697122,0.242,0.319,1,"Ghitm"
"Nectin2",0.000612525105805867,-0.765090082245186,0.279,0.342,1,"Nectin2"
"Xpot",0.000633630483206302,0.43176390723702,0.299,0.213,1,"Xpot"
"Dnajc11",0.000638038173520916,0.324201854735045,0.576,0.483,1,"Dnajc11"
"Scfd2",0.000638120081713432,0.269306877998013,0.589,0.479,1,"Scfd2"
"Nnmt",0.000651519819728718,-0.776014950021136,0.245,0.314,1,"Nnmt"
"Aox1",0.000671539972967904,0.257698036946206,0.591,0.496,1,"Aox1"
"Dcaf13",0.000706013267129578,0.408493383933133,0.258,0.177,1,"Dcaf13"
"Ankrd9",0.00071993514924874,-0.600048210423623,0.273,0.353,1,"Ankrd9"
"Magi3",0.000722333567171854,0.275901788536417,0.5,0.39,1,"Magi3"
"Pex7",0.000755317313273857,0.28024154309469,0.456,0.343,1,"Pex7"
"Tspan12",0.000768763224771523,-0.268371674191305,0.789,0.806,1,"Tspan12"
"Mcur1",0.000770145350245669,0.401087306428431,0.427,0.329,1,"Mcur1"
"Aff4",0.00077089416016549,-0.373717595670463,0.617,0.639,1,"Aff4"
"Mmut",0.000777785536911671,0.414955164636864,0.255,0.175,1,"Mmut"
"Lars2",0.000779627961293571,0.338424091225491,0.466,0.354,1,"Lars2"
"Gm37494",0.000834737751385852,0.30318069476571,0.422,0.319,1,"Gm37494"
"Naa30",0.000836380113797297,-0.412768141670245,0.414,0.475,1,"Naa30"
"Mccc1",0.000849653473039071,0.334983546399089,0.401,0.307,1,"Mccc1"
"Ern1",0.000860988334742104,0.27009635735612,0.354,0.257,1,"Ern1"
"Farp1",0.000863697017881007,0.404244156559459,0.273,0.191,1,"Farp1"
"Man1a2",0.000882209755069401,0.396837184524434,0.32,0.233,1,"Man1a2"
"Armc1",0.00088646463308966,0.337458098649969,0.312,0.222,1,"Armc1"
"Tmeff1",0.000945911150864691,-0.411162859601112,0.521,0.574,1,"Tmeff1"
"Eda",0.000960900277816557,0.374820931648792,0.732,0.668,1,"Eda"
"Limch1",0.000965977477228545,-0.538774191928816,0.232,0.311,1,"Limch1"
"Sugct",0.000976476478283202,-0.628487566955101,0.396,0.441,1,"Sugct"
"Hectd4",0.000995944429777063,0.330086817864548,0.484,0.385,1,"Hectd4"
"Zcchc14",0.000997311837587891,0.276846998120726,0.312,0.221,1,"Zcchc14"
"St7l",0.00101593231032359,0.329524442081575,0.583,0.498,1,"St7l"
"Znrf2",0.00102584215434733,0.350009771443953,0.388,0.297,1,"Znrf2"
"Ssbp3",0.00105288941140286,0.330438848587722,0.38,0.285,1,"Ssbp3"
"Eif1",0.00105673080724389,-0.585434771673899,0.211,0.287,1,"Eif1"
"Mxd4",0.00106058054750798,0.432103182528356,0.315,0.232,1,"Mxd4"
"Kdm7a",0.00108697777944083,0.250206634763102,0.484,0.386,1,"Kdm7a"
"Ext1",0.00110295897125829,-0.294111632203228,0.786,0.78,1,"Ext1"
"Ube2w",0.00113881386015508,-0.347083549109837,0.581,0.632,1,"Ube2w"
"Hira",0.00114740827534125,0.272766336284443,0.391,0.291,1,"Hira"
"Gpc4",0.00116735197178055,0.279174150337054,0.302,0.214,1,"Gpc4"
"BC005537",0.00118374808211027,-0.511732947222009,0.359,0.423,1,"BC005537"
"Actr2",0.00120324146956024,0.432428609103527,0.312,0.233,1,"Actr2"
"Tysnd1",0.00120788284946043,-0.665886501491677,0.219,0.285,1,"Tysnd1"
"Inca1",0.00123866478653946,-0.430696148452194,0.513,0.558,1,"Inca1"
"Camkk2",0.00130234190856568,0.430997311718226,0.299,0.218,1,"Camkk2"
"Nf2",0.00131931246033935,0.321235156262001,0.521,0.422,1,"Nf2"
"Khdrbs1",0.00136526334283437,0.331191412292599,0.471,0.376,1,"Khdrbs1"
"Ctsz",0.00139806786896802,-0.382508340738244,0.417,0.487,1,"Ctsz"
"B4galt1",0.00142112025972971,-0.288391641200757,0.82,0.848,1,"B4galt1"
"Scarf1",0.00143129952043026,0.353014034898267,0.578,0.483,1,"Scarf1"
"Elf1",0.00145019588529395,0.319437663082574,0.523,0.44,1,"Elf1"
"Zbtb38",0.00148248119068947,-0.544597254376125,0.401,0.452,1,"Zbtb38"
"Ccz1",0.00148852653161169,0.612883408229222,0.263,0.191,1,"Ccz1"
"Armc8",0.00148925407867604,0.362169929802678,0.445,0.346,1,"Armc8"
"Mroh1",0.00149079654466574,0.38829964551571,0.263,0.186,1,"Mroh1"
"Htt",0.0014999240432861,0.263594950650668,0.424,0.33,1,"Htt"
"Usp33",0.001570198475503,-0.275195878941305,0.734,0.755,1,"Usp33"
"Zmiz1",0.00158042771849377,0.335531052769152,0.487,0.387,1,"Zmiz1"
"Kansl2",0.00158244809293356,0.361477303847069,0.359,0.274,1,"Kansl2"
"Rbl2",0.00161000988482512,0.318268089220852,0.372,0.28,1,"Rbl2"
"Zc3h7a",0.00163559325788254,0.389326063735908,0.365,0.284,1,"Zc3h7a"
"Iars2",0.00165708249892496,0.33416958153986,0.516,0.42,1,"Iars2"
"Cntnap1",0.00172796102410881,0.382417240335201,0.346,0.264,1,"Cntnap1"
"Tnip1",0.0017374992954151,0.252475868071407,0.263,0.181,1,"Tnip1"
"March3",0.00174055767374756,-0.309283341638005,0.654,0.697,1,"March3"
"Khdrbs3",0.00177402998534601,-0.393269558697584,0.513,0.548,1,"Khdrbs3"
"Ibtk",0.00177512168775981,0.391208963806822,0.266,0.19,1,"Ibtk"
"Pts",0.00178475752565932,0.414906244072027,0.378,0.293,1,"Pts"
"Prkaa2",0.0018186683175994,0.261440835344636,0.409,0.31,1,"Prkaa2"
"Gstz1",0.00183152913994246,0.295214419697184,0.484,0.391,1,"Gstz1"
"Orc5",0.00183774915845203,0.455081406958724,0.25,0.176,1,"Orc5"
"Sdhb",0.00183972034709354,0.266621385305266,0.555,0.446,1,"Sdhb"
"Hagh",0.00184055186279966,0.382430874385092,0.253,0.182,1,"Hagh"
"Dpp8",0.00184469873097868,0.332038626839255,0.495,0.405,1,"Dpp8"
"Siah1a",0.00187488856793522,-0.402383129734574,0.5,0.558,1,"Siah1a"
"Cyp2d22",0.00188069399155874,0.504675312443536,0.281,0.209,1,"Cyp2d22"
"4931406C07Rik",0.00194967696534025,-0.313744633205822,0.659,0.683,1,"4931406C07Rik"
"Wipi2",0.0020243706928086,-0.478052652918088,0.372,0.435,1,"Wipi2"
"Ptar1",0.00208316543361534,0.337056878463779,0.378,0.287,1,"Ptar1"
"Paqr9",0.00214477502670711,0.295749325883717,0.279,0.195,1,"Paqr9"
"Rmnd5a",0.00216910031522077,0.297291344093827,0.466,0.369,1,"Rmnd5a"
"G3bp2",0.00222544706459502,-0.578999899621223,0.448,0.48,1,"G3bp2"
"Pcyt1a",0.00222759962976769,0.427432156880816,0.365,0.279,1,"Pcyt1a"
