"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Sat1",0.235317855114826,-0.323215072924357,0.294,0.313,1,"Sat1"
"Ski",0.24138717747907,-0.307925159832803,0.365,0.371,1,"Ski"
"Atp5e",0.250882240028995,-0.273364689560683,0.289,0.309,1,"Atp5e"
"Dhrs7b",0.259152980749521,-0.330421931651464,0.263,0.283,1,"Dhrs7b"
"Atp5k",0.261367169125934,-0.266333400456794,0.331,0.345,1,"Atp5k"
"Naa50",0.267218750386233,-0.307856947712414,0.294,0.309,1,"Naa50"
"Grb14",0.270085419357071,-0.328996891619376,0.411,0.417,1,"Grb14"
"Galnt18",0.270671095847107,-0.265922258772513,0.326,0.328,1,"Galnt18"
"Tpt1",0.279117086280379,-0.252762299925609,0.276,0.293,1,"Tpt1"
"Lmtk2",0.279166269829686,-0.280380822867808,0.471,0.466,1,"Lmtk2"
"Stam",0.281406677830326,-0.281080494105622,0.289,0.306,1,"Stam"
"Fitm2",0.285642082619586,-0.298401111586022,0.305,0.313,1,"Fitm2"
"Ufd1",0.289941770290078,-0.255958850885762,0.344,0.351,1,"Ufd1"
"Fam204a",0.290249294887896,-0.274140916842362,0.268,0.285,1,"Fam204a"
"Cdc14a",0.29357870504562,-0.330477334345066,0.242,0.256,1,"Cdc14a"
"Tns2",0.294414907699143,-0.32750556949037,0.253,0.267,1,"Tns2"
"Rbks",0.295530330130892,-0.264659510715148,0.344,0.356,1,"Rbks"
"Hmgb1",0.305323541353943,-0.277718280904034,0.273,0.289,1,"Hmgb1"
"Sppl2a",0.33448137518725,-0.303069880504017,0.372,0.373,1,"Sppl2a"
"Fam168b",0.395427379923103,-0.314136723196183,0.315,0.312,1,"Fam168b"
"Stat3",0.405844966611218,-0.255906792654163,0.339,0.339,1,"Stat3"
"Cyb5a",0.406269142326425,-0.36436157323633,0.255,0.26,1,"Cyb5a"
"Ankrd52",0.40929871540152,-0.330044422812429,0.263,0.268,1,"Ankrd52"
"Zfp266",0.430386705061164,-0.296302403611288,0.26,0.268,1,"Zfp266"
"Snx3",0.461362363374209,-0.306074039545237,0.297,0.3,1,"Snx3"
"Txn2",0.478667507137093,-0.273113228388047,0.302,0.306,1,"Txn2"
"Met",0.480681273928838,-0.363670533017991,0.31,0.302,1,"Met"
"Fcgrt",0.486794565758761,-0.290938527288078,0.349,0.343,1,"Fcgrt"
"Tnnt3",0.494492497077962,-0.262394664935338,0.331,0.333,1,"Tnnt3"
"Dmd",0.550308557318871,-0.260469641759744,0.362,0.36,1,"Dmd"
"Dcun1d5",0.569734529918148,-0.310321889778903,0.302,0.295,1,"Dcun1d5"
"Peli2",0.570201884078143,-0.291926517747631,0.297,0.294,1,"Peli2"
"Zfyve16",0.646600713376976,-0.258624481192589,0.344,0.33,1,"Zfyve16"
"Cnot7",0.827597459572629,-0.260057496029142,0.281,0.268,1,"Cnot7"
